Admin,1,miladabdi1374@gmail.com,milad,man,true,abdi,12345678,ADMIN,abdimilad
Student,2,mehrna1379@gmail.com,mehran,man,true,abdi,12345678,STUDENT,abdimehran
Teacher,3,behzad@gmail.com,behzad,man,false,ganbari,12345678,TEACHER,ganbaribehzad
Student,4,mehrdad@gmail.com,mehrdad,man,true,abdi,12345678,STUDENT,abdimerhrdad
Student,5,mahsa@gmail.com,mahsa,woman,false,abdi,12345678,STUDENT,abdimahsa
Student,6,nahid@gmail.com,nahid,woman,false,abdi,12345678,STUDENT,abdinahid
Student,7,mohammad@gmail.com,mohammad,man,false,abdi,12345678,STUDENT,abdimohammad
Student,8,tohid@gmail.com,tohid,man,false,abdi,12345678,STUDENT,abditohid
Teacher,9,gasem@gmail.com,gasem,man,false,abdi,12345678,TEACHER,abdigasem
Teacher,10,abbas@gmail.com,abbas,man,false,abdi,12345678,TEACHER,abdiabbas
Teacher,11,heydar@gmail.com,heydar,man,false,abdi,12345678,TEACHER,abdiheydar
Teacher,12,rogayyeh@gmail.com,rogayyeh,woman,false,abdi,12345678,TEACHER,abdirogayyeh
Teacher,13,nasim@gmail.com,nasim,woman,false,abdi,12345678,TEACHER,abdinasim
Teacher,14,zeynab@gmail.com,zeynab,woman,false,abdi,12345678,TEACHER,abdizeynab

